Country,ka_open,kaopen,fixed,flexible,nfa,commd,commd_i,comd_d,gsur,gsur_18
Argentina,2,2,2,2,2,7,7,7,2,2
Armenia,2,2,0,0,2,5,5,5,11,9
Australia,13,13,13,13,13,14,14,14,13,13
Austria,2,2,2,2,2,3,3,3,2,2
Belarus,0,0,0,0,0,3,3,3,5,5
Belgium,2,2,2,2,2,7,7,7,2,2
Bolivia,0,0,0,0,0,5,5,5,0,0
Brazil,2,2,2,2,2,4,4,4,2,2
Bulgaria,0,0,0,0,0,3,3,3,4,0
Cambodia,2,2,1,1,1,12,8,12,3,3
Canada,11,11,11,11,11,12,12,12,11,11
Chile,2,2,2,2,2,3,3,3,2,2
China,2,2,2,2,2,4,4,4,2,2
Colombia,2,2,2,2,2,3,3,3,2,2
Costa Rica,2,2,2,2,2,3,3,3,2,2
Croatia,2,2,0,0,2,1,1,1,0,0
Czech Republic,5,5,2,2,2,3,3,3,4,2
Denmark,2,2,2,2,2,3,3,3,2,2
El Salvador,0,0,0,0,0,1,1,1,0,0
Estonia,5,5,2,2,2,5,5,5,4,2
Finland,2,2,2,2,2,3,3,3,2,2
France,2,2,2,2,2,3,3,3,2,7
Georgia,0,0,0,0,0,1,1,1,0,0
Germany,2,2,2,2,2,3,3,3,2,2
Greece,2,2,2,2,2,3,3,3,2,2
Guatemala,0,0,0,0,0,6,6,6,1,1
Hong Kong,0,0,0,0,0,1,1,1,0,0
Hungary,2,2,2,2,2,6,5,6,8,8
Iceland,2,2,2,2,2,15,3,15,6,6
India,12,12,12,12,12,13,14,13,30,12
Indonesia,2,2,2,2,2,4,4,4,2,2
Ireland,2,2,2,2,2,3,3,3,2,2
Israel,2,2,2,2,2,3,3,3,2,2
Italy,2,2,2,2,2,3,3,3,2,2
Japan,2,2,2,2,2,3,3,3,2,2
Kazakhstan,1,1,0,0,0,1,1,1,7,7
Kyrgyz Republic,5,5,1,1,2,5,5,5,3,1
Latvia,5,5,2,2,2,4,4,4,4,3
Lithuania,5,5,2,2,2,4,4,4,4,2
Luxembourg,28,28,28,28,28,28,28,28,28,28
Malaysia,0,0,0,0,0,1,1,1,0,0
Mauritius,0,0,0,0,0,1,1,1,0,0
Mexico,2,2,2,2,2,4,4,4,2,2
Moldova,1,1,0,0,0,2,1,2,0,0
Netherlands,6,6,2,2,2,3,3,3,2,2
New Zealand,2,2,2,2,2,3,3,3,2,2
Norway,2,2,2,2,2,5,5,5,7,7
Paraguay,0,0,0,0,0,1,1,1,0,0
Peru,0,0,0,0,0,6,6,6,0,0
Philippines,0,0,0,0,0,4,4,4,0,0
Poland,3,3,2,2,2,9,9,9,12,7
Portugal,2,2,2,2,2,3,3,3,2,2
Romania,0,0,0,0,0,1,1,1,0,0
Russia,3,3,2,2,1,4,4,4,5,1
Slovak Republic,5,5,2,2,2,4,4,4,4,4
Slovenia,3,3,2,2,2,3,3,3,2,2
South Africa,12,12,12,12,12,24,23,24,12,12
South Korea,2,2,2,2,2,3,3,3,2,21
Spain,2,2,2,2,2,3,3,3,2,2
Sri Lanka,1,1,1,1,1,10,10,10,1,1
Sweden,2,2,2,2,2,3,3,3,2,2
Switzerland,26,26,2,2,2,3,3,3,2,2
Taiwan,39,39,39,39,39,39,39,39,39,39
Thailand,0,0,0,0,0,1,0,1,0,0
Turkey,2,2,2,2,2,4,4,4,2,2
United Kingdom,17,17,17,17,17,18,18,18,17,17
United States,12,12,63,63,12,14,14,14,12,15
Uruguay,0,0,0,0,0,1,1,1,0,0
Venezuela,0,0,0,0,0,2,1,2,0,0
Vietnam,1,1,1,1,1,3,3,3,1,1
